date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:46:22	114/114	---M-Z	200	added ('OK')	text/plain	etag:%22f8d69afa5b3a7867097f91c3be6f060f%22	https://bisque-environment-743692.framer.app/robots.txt		(from )
22:46:23	174124/174124	---M-Z	200	added ('OK')	text/html	etag:%22806972fd5489c7b06ff4af2d9e007103%22	https://bisque-environment-743692.framer.app/	C:/Users/admin/Downloads/eshaan/bisque-environment-743692.framer.app/index.html	(from )
22:46:24	223/223	---M--	200	added ('OK')	image/png	etag:%22810193ede98443698ba6b54575e9cf3c%22	https://framerusercontent.com/sites/icons/default-favicon-light.v1.png	C:/Users/admin/Downloads/eshaan/framerusercontent.com/sites/icons/default-favicon-light.v1.png	(from https://bisque-environment-743692.framer.app/)
22:46:24	227/227	---M--	200	added ('OK')	image/png	etag:%22e44c40138d977deec13c54928aec692d%22	https://framerusercontent.com/sites/icons/default-favicon-dark.v1.png	C:/Users/admin/Downloads/eshaan/framerusercontent.com/sites/icons/default-favicon-dark.v1.png	(from https://bisque-environment-743692.framer.app/)
22:46:24	8598/8598	---M--	200	added ('OK')	image/png	etag:%2218abb0c2b2ff01a1658d805c5dd98278%22	https://framerusercontent.com/sites/icons/default-touch-icon.v3.png	C:/Users/admin/Downloads/eshaan/framerusercontent.com/sites/icons/default-touch-icon.v3.png	(from https://bisque-environment-743692.framer.app/)
22:46:25	34903/34903	---MC-	200	added ('OK')	image/jpeg	etag:%226ed071e0884666561ad8ec2b6e91a346%22	https://framerusercontent.com/images/RiNErEyoBxHEEehtEFVfqhRBBg.jpg	C:/Users/admin/Downloads/eshaan/framerusercontent.com/images/RiNErEyoBxHEEehtEFVfqhRBBg.jpg	(from https://bisque-environment-743692.framer.app/)
22:46:26	6304/6304	---MC-	200	added ('OK')	image/png	etag:%22b79a61c4ee8a67b3a83c6993840fa951%22	https://framerusercontent.com/images/JV0bZ7yrc1A0Z9L8mlFcVseKHo.png	C:/Users/admin/Downloads/eshaan/framerusercontent.com/images/JV0bZ7yrc1A0Z9L8mlFcVseKHo.png	(from https://bisque-environment-743692.framer.app/)
22:46:27	6876/6876	---MC-	200	added ('OK')	image/png	etag:%22642d2a4aa3da2f7629051a8b23f57ce5%22	https://framerusercontent.com/images/XYiwm9w0oZT8YS6qo0JTelBg.jpeg	C:/Users/admin/Downloads/eshaan/framerusercontent.com/images/XYiwm9w0oZT8YS6qo0JTelBg.png	(from https://bisque-environment-743692.framer.app/)
22:46:27	842/842	---MC-	200	added ('OK')	image/png	etag:%22e70c351345d6766c1357e8d68ffe9552%22	https://framerusercontent.com/images/xTqiKX9D5kGtyT4yZrjlFN6EwJE.png	C:/Users/admin/Downloads/eshaan/framerusercontent.com/images/xTqiKX9D5kGtyT4yZrjlFN6EwJE.png	(from https://bisque-environment-743692.framer.app/)
22:46:28	5220/5220	---MC-	200	added ('OK')	image/png	etag:%22180d72bc8f0422ab4467caa71e741813%22	https://framerusercontent.com/images/WL1K0mLTYwedzBgeF68smRJssA.png	C:/Users/admin/Downloads/eshaan/framerusercontent.com/images/WL1K0mLTYwedzBgeF68smRJssA.png	(from https://bisque-environment-743692.framer.app/)
22:46:28	18248/18248	---MC-	200	added ('OK')	image/jpeg	etag:%22b7d62961457facd5ea1736d29228acb6%22	https://framerusercontent.com/images/H2HHrVW1S2aR5MeBbpFgwHHVvs.jpeg	C:/Users/admin/Downloads/eshaan/framerusercontent.com/images/H2HHrVW1S2aR5MeBbpFgwHHVvs.jpg	(from https://bisque-environment-743692.framer.app/)
22:46:30	58701/58701	---MC-	200	added ('OK')	image/png	etag:%22641bcc0f4a3bc306d3b277bcdcbaf5a8%22	https://framerusercontent.com/images/SuJ8UPE36Vx4EoYiyw5eSetlrBA.png	C:/Users/admin/Downloads/eshaan/framerusercontent.com/images/SuJ8UPE36Vx4EoYiyw5eSetlrBA.png	(from https://bisque-environment-743692.framer.app/)
22:46:30	49264/49264	---MC-	200	added ('OK')	image/jpeg	etag:%22105b0c1ac901839e50a50986737d3e75%22	https://framerusercontent.com/images/QFcHoYqeJJCwtaSZdprlt2wSkDU.jpg	C:/Users/admin/Downloads/eshaan/framerusercontent.com/images/QFcHoYqeJJCwtaSZdprlt2wSkDU.jpg	(from https://bisque-environment-743692.framer.app/)
22:46:31	31751/31751	---MC-	200	added ('OK')	image/jpeg	etag:%2211eca4c49a180dcae4b40334d5a3ba61%22	https://framerusercontent.com/images/TK7OuN7zXy4XqryDCjfT1wPpPs.jpeg	C:/Users/admin/Downloads/eshaan/framerusercontent.com/images/TK7OuN7zXy4XqryDCjfT1wPpPs.jpg	(from https://bisque-environment-743692.framer.app/)
